case:sel2	"'y'"
case:sel-range	"<refused>"
case:tl	"('y', 'z')"
case:tl-atom	"<refused>"
case:atom-t	"'T'"
case:atom-f	"'F'"
case:null-t	"'T'"
case:null-f	"'F'"
case:eq-nateq	"'F'"
case:eq-same	"'T'"
case:add-int	"5"
case:add-lex	"<refused>"
case:add-bad	"<refused>"
case:mul-lex	"<refused>"
case:lt-coerce	"'F'"
case:lt-mixed	"<refused>"
case:ge-multi	"'T'"
case:lt-words	"'T'"
case:apndl	"('h', 'a', 'b')"
case:apndr	"('a', 'b', 't')"
case:distl	"(('k', 'p'), ('k', 'q'))"
case:distr	"(('p', 'k'), ('q', 'k'))"
case:cat	"('a', 'b', 'c')"
case:reverse	"(3, 2, 1)"
case:or-ft	"'T'"
case:or-ff	"'F'"
case:or-tt	"'T'"
case:or-nonbool	"<refused>"
case:rotl	"(2, 3, 1)"
case:rotr	"(3, 1, 2)"
case:oner	"3"
case:tlr-phi	"<refused>"
case:trans	"((1, 3, 5), (2, 4, 6))"
case:trans-ragged	"<refused>"
case:div	"2"
case:div-zero	"<refused>"
case:comp	"('c')"
case:cons	"('q', 'p')"
case:const	"'k'"
case:cond	"'empty'"
case:alpha	"(('b'), ('d'))"
case:insert-max	"'7'"
case:while-count	"0"
case:bu	"17"
case:const-bottom	"<refused>"
case:rmap-unnest	"(('Ada', 'x'), ('Bob', 'y'))"
case:rmap-unnest-curried	"(('Ada', 'age', '42'))"
case:ast-store-replace	"(('CELL', 'F1', (('z'))), ('CELL', 'F2', (('b'))))"
case:ast-store-absent	"(('CELL', 'F3', (('z'))), ('CELL', 'F1', (('a'))), ('CELL', 'F2', (('b'))))"
case:ast-store-stack	"(('CELL', 'F1', (('z'))), ('CELL', 'F1', (('old'))))"
case:fetchpop-flat	"(('a'), ('b'))"
case:fetchpop-nested	"(('a'), ('b'))"
case:fetchpop-shadow	"(('x'))"
case:store-namerows	"(('Ada', 1), ('Bob', 2), ('Cyd', ()))"
case:rmap-wide-row	"('a', (('x')))"
case:rmap-wide-row-null	"('zz', ())"
case:aggids	"('r2', 'r5')"
case:rules-plain	"(('r1', 'H1'))"
case:rules-agg	"(('r2', 'H2'))"
case:rulesplit	"((('r1', 'H1')), (('r2', 'H2')))"
case:colfts	"('ftC', 'ftA')"
case:coltables	"('person', 'car')"
case:atom-hits	"(('p1', 'F1'), ('p4', 'F3'))"
case:atom-hits-empty	"()"
case:reads-hit	"'T'"
case:reads-hit-miss	"'F'"
case:reads-hit-nofrontier	"'F'"
case:reads-hit-noreads	"'F'"
case:txn-unambiguous	"(('t1', 'M1'))"
case:copy-pairs	"(('A', 'B'), ('D', 'E'), ('A', 'B'))"
case:uniq-constraints	"(('c1', 'F1'), ('c3', 'F3'))"
case:ftr-pairs	"(('F1', 'r1'), ('F2', 'r2'), ('F1', 'r3'))"
case:groupby1-rest	"(('r1', (('pos', 'A'), ('pos', 'C'))), ('r2', (('neg', 'B'))))"
case:groupby1	"(('r1', ('A', 'C')), ('r2', ('B')))"
case:aton	"120"
case:aton-zeros	"7"
case:aton-neg	"-42"
case:aton-float	"'1.5'"
case:aton-mixed	"'12a'"
case:aton-baresign	"'-'"
case:aton-plus	"5"
case:aton-bareplus	"'+'"
case:aton-roundtrip	"9042"
case:firstseen	"('a', 'b', 'c')"
case:dedup-last	"('a', 'c', 'b')"
case:union	"('a', 'b', 'c')"
case:union-order	"('a', 'b', 'c')"
case:union-dup-left	"('a', 'b', 'c')"
case:union-empty-left	"('a', 'b')"
case:union-empty-right	"('a', 'b')"
case:union-both-empty	"()"
case:txn-surrogate	"'txn:M9\u001ft9'"
case:theta-tie	"(('a', 'x'), ('d', 'z'))"
case:theta-tie-none	"()"
case:theta-tie-empty	"()"
case:setminus	"(('a', 1), ('c', 3))"
case:setminus-all	"(('b', 2))"
case:setminus-order	"('c', 'b')"
case:setminus-miss	"('a', 'b')"
case:setminus-empty	"()"
case:txn-positions	"(('F1', 1), ('F3', 2))"
case:txn-positions-short	"(('F2', 0))"
case:txn-positions-other	"()"
case:txn-surrogates	"(('t9', 'txn:M9\u001ft9'), ('t1', 'txn:M2\u001ft1'))"
case:atpos-dups	"('Order', 'Order', 'Peer')"
case:distinct-at2	"('F2', 'F1')"
case:distinct-at-short	"('F1', 'F3')"
case:distinct-at-empty	"()"
case:abs-targets	"('T1', 'T2')"
case:abs-targets-self	"()"
case:abs-targets-unsorted	"('T1', 'T9')"
case:abs-targets-empty	"()"
case:drop-named	"(('a', 1), ('c', 3))"
case:drop-named-missing	"(('a', 1), ('b', 2))"
case:drop-named-all	"()"
case:replace-cell-replaces	"(('a', 1), ('c', 3), ('b', 9))"
case:replace-cell-appends	"(('a', 1), ('c', 3), ('b', 9))"
case:replace-cell-empty	"(('a', 1))"
case:replace-cells-order	"(('c', 3), ('b', 9), ('a', 8))"
case:replace-cells-step2	"(('c', 3), ('b', 9), ('a', 8))"
case:replace-cells-one	"(('a', 1), ('c', 3), ('b', 9))"
case:replace-cells-empty	"(('a', 1), ('b', 2))"
